Date,Close_A,Open_A,High_A,Low_A,Volumes_A,Change_A,Price_S,Change_S,Price_T,Change_T
10/28/2001,0.33,0.33,0.34,0.3,1300000000,-0.0517,1087.20,-0.0158,322.90,-0.0077
11/04/2001,0.33,0.34,0.36,0.33,1410000000,-0.0102,1120.31,0.0305,342.40,0.0605
11/11/2001,0.34,0.33,0.36,0.32,1090000000,-0.0146,1138.65,0.0164,358.20,0.0461
11/18/2001,0.35,0.34,0.36,0.34,870850000,-0.0079,1150.34,0.0103,355.10,-0.0085
11/25/2001,0.38,0.36,0.38,0.35,1490000000,-0.0218,1139.45,-0.0095,359.70,0.0129
12/02/2001,0.4,0.38,0.43,0.37,1670000000,0.0121,1158.31,0.0166,378.80,0.0531
12/09/2001,0.36,0.4,0.41,0.36,955670000,0.0488,1123.09,-0.0304,363.30,-0.0409
12/16/2001,0.37,0.36,0.39,0.36,1180000000,-0.0616,1144.89,0.0194,354.80,-0.0236
12/23/2001,0.4,0.37,0.41,0.37,687820000,0.0052,1161.02,0.0141,359.80,0.0142
12/30/2001,0.42,0.4,0.43,0.39,1690000000,-0.0304,1172.51,0.0099,384.60,0.0689
01/06/2002,0.38,0.42,0.43,0.36,2020000000,0.0073,1145.60,-0.0230,374.70,-0.0258
01/13/2002,0.4,0.38,0.41,0.37,2280000000,0.0300,1127.58,-0.0157,358.10,-0.0441
01/20/2002,0.42,0.4,0.42,0.39,1300000000,-0.0463,1133.28,0.0051,355.30,-0.0080
01/27/2002,0.44,0.42,0.45,0.41,1770000000,0.1088,1122.20,-0.0098,351.70,-0.0099
02/03/2002,0.43,0.43,0.46,0.42,2280000000,0.0321,1096.22,-0.0232,332.70,-0.0542
02/10/2002,0.43,0.43,0.45,0.42,1460000000,-0.0233,1104.18,0.0073,329.40,-0.0099
02/17/2002,0.41,0.42,0.43,0.38,1530000000,0.0704,1089.84,-0.0130,306.80,-0.0686
02/24/2002,0.42,0.41,0.44,0.37,2530000000,-0.0085,1131.78,0.0385,324.70,0.0583
03/03/2002,0.44,0.42,0.45,0.41,1380000000,0.0099,1164.31,0.0287,350.60,0.0799
03/10/2002,0.45,0.44,0.45,0.43,1180000000,0.0075,1166.16,0.0016,332.30,-0.0521
03/17/2002,0.43,0.45,0.45,0.42,1640000000,0.0266,1148.70,-0.0150,326.50,-0.0175
03/24/2002,0.42,0.43,0.43,0.41,756430000,0.0136,1147.39,-0.0011,326.30,-0.0005
03/31/2002,0.44,0.42,0.45,0.42,1230000000,0.0018,1122.73,-0.0215,309.10,-0.0527
04/07/2002,0.45,0.43,0.45,0.42,1410000000,-0.0291,1111.01,-0.0104,297.30,-0.0385
04/14/2002,0.45,0.45,0.47,0.44,2100000000,0.0059,1125.17,0.0127,309.00,0.0395
04/21/2002,0.41,0.44,0.45,0.41,1140000000,-0.0195,1076.32,-0.0434,281.60,-0.0888
04/28/2002,0.42,0.41,0.44,0.41,1240000000,-0.0345,1073.43,-0.0027,267.00,-0.0517
05/05/2002,0.42,0.42,0.44,0.4,1390000000,0.0384,1054.99,-0.0172,270.50,0.0131
05/12/2002,0.45,0.42,0.46,0.41,1590000000,0.0028,1106.59,0.0489,303.00,0.1202
05/19/2002,0.43,0.44,0.45,0.42,1380000000,-0.0061,1083.82,-0.0206,285.40,-0.0580
05/26/2002,0.42,0.42,0.44,0.42,935380000,0.0203,1067.14,-0.0154,274.80,-0.0372
06/02/2002,0.38,0.42,0.42,0.37,1730000000,0.0019,1027.53,-0.0371,261.00,-0.0503
06/09/2002,0.36,0.38,0.39,0.32,1930000000,-0.0182,1007.27,-0.0197,256.20,-0.0186
06/16/2002,0.3,0.36,0.37,0.3,3240000000,0.0148,989.14,-0.0180,237.20,-0.0739
06/23/2002,0.32,0.3,0.32,0.29,1820000000,0.0088,989.82,0.0007,241.40,0.0175
06/30/2002,0.33,0.32,0.33,0.3,895520000,0.0368,989.03,-0.0008,246.40,0.0206
07/07/2002,0.31,0.33,0.34,0.3,1460000000,0.0515,921.39,-0.0684,235.80,-0.0430
07/14/2002,0.27,0.31,0.33,0.26,2900000000,0.0203,847.75,-0.0799,228.60,-0.0302
07/21/2002,0.26,0.26,0.27,0.25,1930000000,0.0244,852.84,0.0060,207.20,-0.0939
07/28/2002,0.26,0.26,0.28,0.25,1350000000,0.0116,864.24,0.0134,204.00,-0.0154
08/04/2002,0.27,0.26,0.27,0.25,1240000000,0.0103,908.64,0.0514,216.80,0.0630
08/11/2002,0.28,0.27,0.29,0.26,1420000000,-0.0065,928.77,0.0222,231.50,0.0679
08/18/2002,0.28,0.28,0.29,0.28,1030000000,-0.0158,940.86,0.0130,235.30,0.0165
08/25/2002,0.26,0.28,0.28,0.26,1060000000,-0.0212,916.07,-0.0263,218.50,-0.0716
09/01/2002,0.26,0.26,0.26,0.25,1110000000,-0.0095,893.92,-0.0242,213.70,-0.0218
09/08/2002,0.25,0.25,0.26,0.25,1160000000,-0.0213,889.81,-0.0046,212.20,-0.0072
09/15/2002,0.27,0.25,0.27,0.25,1610000000,0.0012,845.39,-0.0499,194.30,-0.0843
09/22/2002,0.26,0.26,0.27,0.26,1190000000,0.0087,827.37,-0.0213,187.20,-0.0364
09/29/2002,0.25,0.26,0.26,0.25,1220000000,0.0813,800.58,-0.0324,176.30,-0.0586
10/06/2002,0.26,0.25,0.26,0.24,1670000000,0.0148,835.32,0.0434,193.60,0.0983
10/13/2002,0.26,0.26,0.27,0.25,1670000000,0.0102,884.39,0.0587,206.80,0.0683
10/20/2002,0.28,0.25,0.28,0.25,1120000000,-0.0086,897.65,0.0150,217.20,0.0502
10/27/2002,0.29,0.28,0.29,0.27,1370000000,-0.0032,900.96,0.0037,226.00,0.0405
11/03/2002,0.28,0.29,0.31,0.28,1340000000,0.0013,894.74,-0.0069,226.50,0.0023
11/10/2002,0.28,0.28,0.29,0.27,894820000,-0.0663,909.83,0.0169,237.60,0.0493
11/17/2002,0.29,0.29,0.29,0.27,1240000000,-0.0406,930.55,0.0228,252.30,0.0616
11/24/2002,0.28,0.29,0.29,0.27,871920000,-0.0102,936.31,0.0062,257.30,0.0201
12/01/2002,0.27,0.28,0.29,0.26,1450000000,0.0364,912.23,-0.0257,241.00,-0.0636
12/08/2002,0.26,0.27,0.28,0.26,1110000000,-0.0511,889.48,-0.0249,228.50,-0.0516
12/15/2002,0.25,0.26,0.27,0.25,1290000000,0.0938,895.76,0.0071,227.10,-0.0065
12/22/2002,0.25,0.25,0.26,0.25,332030000,-0.0372,875.40,-0.0227,223.90,-0.0139
